FQDNS,Status Code,Last Modified,Status,Redirect URL,Title 1,Meta Description 1 ,H2-1,H2-2,Meta Refresh 1,H1-2
https://bote.me/,200,"Fri, 12 Oct 2018 10:57:41 GMT",OK,http://bote.me//?gtnjs=1,bote.me -&nbspThis website is for sale! -&nbspBoat Resources and Information.,"This website is for sale! bote.me is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, bote.me has it all. We hope you find what you are searching for!",,,0; url=http://bote.me//?gtnjs=1,
https://1link.in/,200,"Fri, 12 Oct 2018 10:57:42 GMT",OK,,1link.in - This website is for sale! - 1link Resources and Information.,This website is for sale!  1link.in is your first and best source for information about 1link . Here you will also find topics relating to issues of general interest. We hope you find what you are looking for!,,,,
https://3x.si/cgi-sys/defaultwebpage.cgi,200,,OK,,Default Web Site Page,,,,,
http://bote.me//?gtnjs=1,200,"Fri, 12 Oct 2018 10:57:44 GMT",OK,,bote.me -&nbspThis website is for sale! -&nbspBoat Resources and Information.,"This website is for sale! bote.me is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, bote.me has it all. We hope you find what you are searching for!",,,,
https://disq.us/,200,"Sun, 15 Mar 2015 01:18:43 GMT",OK,,disq.us | Disqus,,,,,
https://digg.com/,200,,OK,,Digg - What the Internet is talking about right now,"Digg is the homepage of the internet, featuring the best articles, videos, and original content that the web is talking about right now.",Steve Carell Was Never In It For The Laughs,Guilty Dog Believes That Hiding Behind A Pillow Will Erase All His Shame,,
https://cuturl.com/,200,"Fri, 12 Oct 2018 11:00:32 GMT",OK,http://cuturl.com//?gtnjs=1,cuturl.com -&nbspThis website is for sale! -&nbspcuturl Resources and Information.,"This website is for sale! cuturl.com is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, cuturl.com has it all. We hope you find what you are searching for!",,,0; url=http://cuturl.com//?gtnjs=1,
https://bxl.me/,200,"Fri, 12 Oct 2018 11:00:32 GMT",OK,http://bxl.me//?gtnjs=1,bxl.me -&nbspThis website is for sale! -&nbspbxl Resources and Information.,"This website is for sale! bxl.me is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, bxl.me has it all. We hope you find what you are searching for!",,,0; url=http://bxl.me//?gtnjs=1,
https://fire.to/,200,"Fri, 12 Oct 2018 11:00:32 GMT",OK,,Fire.to,,,,,
https://dwarfurl.com/,200,"Fri, 12 Oct 2018 11:00:36 GMT",OK,http://dwarfurl.com//?gtnjs=1,dwarfurl.com -&nbspThis website is for sale! -&nbspCredit Cards Resources and Information.,"This website is for sale! dwarfurl.com is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, dwarfurl.com has it all. We hope you find what you are searching for!",,,0; url=http://dwarfurl.com//?gtnjs=1,
https://ctx.li/,502,,Bad Gateway,,,,,,,
http://bxl.me//?gtnjs=1,200,"Fri, 12 Oct 2018 11:00:38 GMT",OK,,bxl.me -&nbspThis website is for sale! -&nbspbxl Resources and Information.,"This website is for sale! bxl.me is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, bxl.me has it all. We hope you find what you are searching for!",,,,
http://dwarfurl.com//?gtnjs=1,200,"Fri, 12 Oct 2018 11:00:38 GMT",OK,,dwarfurl.com -&nbspThis website is for sale! -&nbspCredit Cards Resources and Information.,"This website is for sale! dwarfurl.com is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, dwarfurl.com has it all. We hope you find what you are searching for!",,,,
https://cbug.cc/cbug.html,302,,Moved Temporarily,https://cbug.cc/cbug.html,,,,,,
